Name,Category,Instagram,YouTube,Facebook,TikTok,ImageURL,Notes,Instagram_Followers,Instagram_Likes,Instagram_Views,YouTube_Followers,YouTube_Likes,YouTube_Views,Facebook_Followers,Facebook_Likes,Facebook_Views,TikTok_Followers,TikTok_Likes,TikTok_Views,Description,Previous_Brands,Gender,Email,Active_Hours,Images
Irfan Junejo,Travel/Lifestyle,https://instagram.com/irfanjunejo,https://www.youtube.com/@IrfanJunejo,https://www.facebook.com/irfanjunejo,https://www.tiktok.com/@irfanjunejo,https://instagram.com/irfanjunejo,Official links via Linktree,1.2M,,,1.47M,,183917381,,,,296.6K,5.1M,,,,Male,,,,
Mooroo (Taimoor Salahuddin),Vlogs/Music,https://instagram.com/mooroosicity,https://www.youtube.com/user/mooroosicity,,https://www.tiktok.com/@mooroosicity,https://instagram.com/mooroosicity,,535K,,,1.18M,,124510215,,,,200.8K,1.7M,,,,Male,,,
Ducky Bhai (Saad ur Rehman),Gaming,https://instagram.com/duckybhai,https://www.youtube.com/@DuckyBhai,,,https://instagram.com/duckybhai,,2.6M,,,9.03M,,2163739399,,,,,,,,,Male,,,
Maaz Safder,Vlogs/Family,https://instagram.com/maazsafder,https://www.youtube.com/@MaazSafderWorld,,,https://instagram.com/maazsafder,,2.1M,,,4.78M,,2104819625,,,,,,,,,Male,,,
Ukhano (Umar Khan),Travel/Lifestyle,https://www.instagram.com/ukhano/,https://www.youtube.com/channel/UC4NQ7dQ171deDBPGAs24CEA,https://www.facebook.com/ukhanarmy/,,https://instagram.com/ukhano,,834K,,,703K,,57689104,,,,,,,,,Male,,,
Nadir Ali (P4 Pakao),Comedy/Pranks,https://instagram.com/p4pakao,https://www.youtube.com/@P4PakaoOfficial,https://www.facebook.com/p4pakao/,,https://instagram.com/p4pakao,,188K,,,4.13M,,1742149091,,,,,,,,,Male,,,
Hina Altaf,Acting/Lifestyle,https://www.instagram.com/hinaaltaf/,https://www.youtube.com/@itshinaaltaf,,,https://instagram.com/ha_inaaltaf,,6.7M,,,310K,,9379582,,,,,,,,,Female,,,
Ayesha Omar,Acting/Lifestyle,https://www.instagram.com/ayesha.m.omar/,,https://www.facebook.com/AyeshaOmarOfficial,,https://instagram.com/ayesha.m.omar,,6M,,,,,,,,,,,,,,Female,,,
Sana Javed,Acting/Fashion,https://www.instagram.com/sanajaved.official/,,,,https://instagram.com/sanajaved.official,,9.1M,,,,,,,,,,,,,,Female,,,
Hira Mani,Acting/Lifestyle,https://www.instagram.com/hiramaniofficial/,,https://www.facebook.com/HiraManiOfficial,,https://instagram.com/hiramaniofficial,,8.5M,,,,,,,,,,,,,,Female,,,
Aiman Khan,Acting/Lifestyle,https://www.instagram.com/aimankhan.official/,,https://www.facebook.com/AimanMuneebOfficial,,https://instagram.com/aimankhan.official,,12.5M,,,,,,,,,,,,,,Female,,,
Iqra Aziz,Acting/Lifestyle,https://www.instagram.com/iiqraaziz/,,https://www.facebook.com/IqraAzizFanClub,,https://instagram.com/iiqraaziz,,11.4M,,,,,,,,,,,,,,Female,,,
Sajal Aly,Acting/Lifestyle,https://www.instagram.com/sajalaly/,,https://www.facebook.com/SajalAliOfficial,,https://instagram.com/sajalaly,,11.3M,,,,,,,,,,,,,,Female,,,
Mahira Khan,Acting/Lifestyle,https://www.instagram.com/mahirahkhan/,,https://www.facebook.com/TheMahiraKhan,,https://instagram.com/mahirahkhan,,11.7M,,,,,,,,,,,,,,Female,,,
Sham Idrees,Comedy/Music,https://www.instagram.com/shamidrees/,https://www.youtube.com/@ShamIdrees,https://www.facebook.com/shamidrees,https://www.tiktok.com/@shamidrees,https://instagram.com/shamidrees,,1.6M,,,1.85M,,584397767,,,,2M,31M,,,,Male,,,
Asim Azhar,Music,https://www.instagram.com/asimazhar/,https://www.youtube.com/@AsimAzharMusicofficial,https://www.facebook.com/asimazharofficial,,https://instagram.com/asimazhar,,3M,,,1.24M,,226765166,,,,,,,,,Male,,,
Bilal Saeed,Music,https://www.instagram.com/bilalsaeed_music/,https://www.youtube.com/@ibilalone,https://www.facebook.com/bilalsaeedmusic,,https://instagram.com/bilalsaeed_music,,1.4M,,,315K,,174213377,,,,,,,,,Male,,,
Ali Gul Pir,Comedy,https://www.instagram.com/therealaligulpir/,https://www.youtube.com/@AliGulPirTV,https://www.facebook.com/AliGulPirOfficial,,https://instagram.com/ali.gulpir,,316K,,,180K,,29480332,,,,,,,,,Male,,,
Faiza Saleem,Comedy,https://www.instagram.com/faizasaleem90/,https://www.youtube.com/@FaizaSaleemOfficial,https://www.facebook.com/faizasaleemofficial,,https://instagram.com/faizasaleem90,,250K,,,145K,,22354108,,,,,,,,,Female,,,
Momin Saqib,Comedy/Lifestyle,https://www.instagram.com/mominsaqib/,https://www.youtube.com/@MominSaqib.Official,https://www.facebook.com/mominsaqibofficial,,https://instagram.com/mominsaqib,,1.9M,,,752K,,288106029,,,,,,,,,Male,,,
Shehzad Ghias Shaikh,Comedy/Podcast,https://www.instagram.com/shehzadghiasshaikh/,https://www.youtube.com/@ShehzadGhias,https://www.facebook.com/shehzadghiasshaikh,,https://instagram.com/shehzadghiasshaikh,,59.7K,,,12.2K,,898581,,,,,,,,,Male,,,
Shahbaz Shigri,Travel/Lifestyle,https://www.instagram.com/shahbazshigri/,,,,https://instagram.com/shahbazshigri,,154K,,,,,,,,,,,,,,Male,,,
Areeba Habib,Fashion/Lifestyle,https://www.instagram.com/imareebahabib/,https://www.youtube.com/@imareebahabib,,https://www.tiktok.com/@officialareebahabib,https://instagram.com/areebahabibofficial,,2.9M,,,55.6K,,3435758,,,,362K,2.4M,,,,Female,,,
Mishal Butt,Beauty/Lifestyle,https://www.instagram.com/mishalbuttofficial/,,,,https://instagram.com/mishalbutt,,1.1M,,,,,,,,,,,,,,Female,,,
Adeel Chaudhry,Food/Travel,https://www.instagram.com/adeelchaudry1/,https://www.youtube.com/@AdeelChaudry,,https://www.tiktok.com/@adeelchaudry1,https://instagram.com/adeel.chaudhry,,1.5M,,,829K,,415356685,,,,1.1M,34.1M,,,,Male,,,
Rana Hamza Saif,Food/Travel,https://www.instagram.com/ranahamzasaif/,https://www.youtube.com/@RanaHamzaSaifRHS,https://www.facebook.com/ranahamzasaif,,https://instagram.com/ranahamzasaif,,995K,,,1.57M,,303090351,,,,,,,,,Male,,,
Amar Khan,Tech/Reviews,https://www.instagram.com/amarkhanlove/,,,https://www.tiktok.com/@amarkhanofficial,https://instagram.com/ammarkhanofficial,,2.1M,,,,,,,,,567.8K,7.2M,,,,Female,,,
Laiba Khan Lodhi,Beauty/Lifestyle,https://www.instagram.com/laibakhanlodhi101/,https://www.youtube.com/@laibakhanlodhi,,https://www.tiktok.com/@laibakhan25,https://www.instagram.com/laibakhanlodhi101/,,1.1M,,,17.4K,,572605,,,,329.9K,5.8M,,,,Female,,,
Syeda Urooj Fatima,Education/Lifestyle,https://www.instagram.com/by.rooj1/,,,,https://instagram.com/syeda.urooj.fatima,,684K,,,,,,,,,,,,,,Female,,,
Areeba Ahmad tirmizi,Actor/Beauty/Lifestyle,https://www.instagram.com/areeba.tirmizi/,,,,https://instagram.com/areebaahmed,,48.1K,,,,,,,,,,,,,,Female,,,
Ayesha Shahveer,Fashion/Design/Lifestyle,https://www.instagram.com/ayeshabeigs/,,,,https://instagram.com/ayeshashah,,1.9M,,,,,,,,,,,,,,Female,,,
